price,year,manufacturer,model,fuel,odometer,transmission
0,2018,chevrolet,express cargo van,gas,66555,automatic
38990,2020,infiniti,qx60 luxe sport utility,gas,5279,other
33990,2018,alfa-romeo,romeo stelvio ti sport suv,gas,23753,other
27990,2017,lincoln,continental select sedan,gas,19492,automatic
28590,2018,audi,q5 premium sport utility 4d,gas,31033,other
18590,2018,hyundai,sonata sel sedan 4d,gas,22075,other
29990,2018,audi,a6 2.0t premium plus sedan,other,24996,automatic
14990,2016,,Scion iM Hatchback 4D,gas,65203,other
39990,2020,acura,mdx sh-awd sport utility,gas,1237,other
2500,1966,,1966 C-30 1 ton,gas,47000,manual
4000,2006,jeep,grand cherokee laredo,gas,281000,automatic
32990,2019,jeep,wrangler sport suv 2d,other,1423,other
27590,2012,jeep,wrangler unlimited sport,gas,52172,other
18590,2017,toyota,camry le sedan 4d,gas,30223,other
33590,2017,ram,1500 crew cab laramie pickup,other,45464,other
40990,2017,jeep,wrangler unlimited rubicon,other,30092,other
33590,2017,jeep,wrangler unlimited sport,gas,37919,other
31590,2017,jeep,wrangler unlimited sport,gas,35391,other
30990,2017,jeep,wrangler unlimited sport,gas,43039,other
14590,2012,bmw,1 series 128i coupe 2d,other,80465,other
20590,2018,chrysler,300 limited sedan 4d,gas,71021,other
19990,2020,mitsubishi,outlander sport es,other,11103,other
10990,2013,nissan,sentra s sedan 4d,gas,81557,other
26990,2018,gmc,acadia sle-2 sport utility,gas,26514,other
36590,2020,gmc,acadia denali sport utility,gas,33026,other
30990,2020,gmc,acadia slt sport utility 4d,gas,35200,other
24590,2018,lincoln,mkz select sedan 4d,gas,16081,automatic
8990,2013,,smart fortwo Passion Hatchback,gas,59072,automatic
23990,2015,lexus,nx 200t sport utility 4d,other,48462,other
25590,2020,buick,encore gx select sport,gas,1113,automatic
52990,2020,jaguar,e-pace p300 r-dynamic se,gas,79,other
19000,2017,subaru,forester,gas,22700,automatic
28000,2018,acura,tlx,gas,55000,automatic
17590,2015,volvo,s60 t5 premier sedan 4d,gas,63512,automatic
36590,2020,volvo,s60 t6 r-design sedan 4d,gas,18506,other
35990,2020,volvo,s60 t6 inscription sedan,other,11878,other
38590,2019,volvo,s60 t8 r-design sedan 4d,gas,14054,automatic
29590,2018,lincoln,continental select sedan,other,33047,automatic
32590,2018,alfa-romeo,romeo stelvio sport suv 4d,other,14863,other
27590,2018,infiniti,qx60 3.5 sport utility,gas,41119,automatic
38990,2020,audi,q5 45 tfsi premium plus,gas,19067,other
21950,2012,toyota,tacoma 4x4,gas,143060,manual
13950,2011,toyota,tacoma,gas,151060,automatic
5900,2001,,F-350,diesel,200000,automatic
12950,2005,bmw,z4,gas,69586,automatic
18950,2010,ford,f150 lariat supercrew 4x4,gas,151403,automatic
6995,2011,volkswagen,jetta sel,gas,172752,automatic
12500,2008,ford,ranger xlt,gas,141345,automatic
16950,2007,toyota,tacoma double cab,gas,156792,automatic
22950,2014,ford,f150 supercrew cab xlt,gas,166380,automatic
12950,2011,honda,crv ex,gas,87994,automatic
12950,2007,mazda,mx-5 miata touring,gas,90610,automatic
13950,2011,mazda,mx-5 miata grand touring,gas,138235,automatic
19950,2009,porsche,boxster,gas,80190,automatic
13950,2008,mazda,miata,gas,86650,manual
10950,2009,lexus,rx350,gas,191955,automatic
13950,2006,lexus,gx470,gas,178790,automatic
1800,1998,toyota,rav4,gas,240537,manual
21250,2002,ford,thunderbird,gas,15996,automatic
4500,2008,ford,mustang,gas,187016,automatic
39590,2020,chevrolet,silverado 1500 crew,gas,19160,other
26990,2017,nissan,titan single cab sv,gas,41335,other
4299,2007,nissan,sentra,gas,189321,automatic
0,2015,nissan,sentra,gas,99505,automatic
3950,2008,kia,spectra ex,gas,247377,automatic
5900,1998,ford,f150,gas,214000,automatic
33990,,,lac XT5 Crossover,gas,48784,automatic
34995,2012,dodge,charger limousine,gas,41000,automatic
3200,2005,ford,focus,gas,189886,automatic
3495,1999,ford,windstar,gas,135448,automatic
6500,2002,ford,sport trac,gas,114775,automatic
16988,2008,toyota,fj cruiser,gas,188099,automatic
16988,2018,nissan,altima,gas,57517,automatic
26990,2018,nissan,frontier,gas,31814,automatic
32186,2021,toyota,tacoma,gas,1443,automatic
16477,2015,buick,enclave,gas,103969,automatic
58977,2019,gmc,sierra 3500,gas,66368,automatic
30990,2016,chevrolet,silverado 1500 double,gas,58116,other
6900,2009,honda,ridgeline,gas,198000,automatic
3750,1997,ford,f150,gas,150000,automatic
2500,1976,chevrolet,malibu classic,gas,100,automatic
3500,2003,toyota,camry,gas,237000,automatic
1300,1969,mercedes-benz,benz,gas,12774,automatic
25990,2016,bmw,5 series,gas,75123,automatic
8000,2013,kia,optima,gas,119000,automatic
32000,2008,chevrolet,silverado 2500,diesel,109600,automatic
3399,2006,buick,lacrosse,gas,160218,automatic
4000,2002,toyota,echo,gas,155000,automatic
3900,2009,hyundai,elantra,gas,162005,automatic
3000,2004,chevrolet,blazer,gas,131500,automatic
2800,2009,nissan,versa,gas,109000,automatic
2500,1995,bmw,525i,gas,110661,automatic
53000,2006,,Sterling Acterra,diesel,160322,automatic
33590,2014,gmc,sierra 1500 crew cab slt,gas,57923,other
12500,2008,gmc,yukon xl,gas,177326,automatic
15990,2017,ford,c-max hybrid se wagon 4d,hybrid,48195,other
2500,2008,honda,accord,gas,204561,automatic
20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,,137701,automatic
25995,2015,chevrolet,silverado 1500 lt crew cab 4wd,,151681,automatic
31995,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,,66738,automatic
5500,1978,ford,f-150,gas,239000,automatic
29000,2005,ford,f750,diesel,77124,automatic
27990,2012,gmc,sierra 2500 hd extended cab,gas,68696,other
24990,2018,gmc,canyon extended cab pickup,other,32329,other
10990,2011,mercedes-benz,ml350,gas,119172,automatic
3300,1999,chrysler,300m,gas,162026,automatic
27000,1954,ford,f100,gas,6000,manual
27995,2017,ford,f-150,gas,101000,automatic
8100,2011,ford,escape,hybrid,140000,automatic
20000,1979,chevrolet,malibu,gas,1234,automatic
3999,2003,infiniti,g35 sedan,gas,233830,automatic
0,2019,chevrolet,silverado 1500,gas,25127,automatic
23500,1970,chevrolet,monte carlo,gas,18678,automatic
5300,2009,jeep,grand cherokee laredo,gas,178000,automatic
0,2014,,Freightliner Cascadia,diesel,100,automatic
45900,2017,,Maserati Levante,gas,36083,automatic
0,2017,chevrolet,silverado 2500hd 4x4,diesel,102000,automatic
5500,1974,mercedes-benz,1929 ssk replica,gas,9999,automatic
3500,1996,chevrolet,tahoe,gas,237000,automatic
16902,2020,toyota,corolla,gas,11692,automatic
12307,2018,kia,soul,gas,95056,automatic
37500,2018,ford,f-150,gas,30026,automatic
21688,2020,nissan,kicks,gas,7575,automatic
29990,2016,chevrolet,colorado extended cab,gas,17302,other
35590,2010,chevrolet,corvette convertible,gas,31879,other
18977,2017,kia,sorento,gas,70014,automatic
6877,2007,nissan,pathfinder,gas,155471,automatic
500,2021,,SPECIAL FINANCE PROGRAM 2020,other,1400,other
12500,2015,volkswagen,passat tdi,diesel,101000,automatic
27998,2008,porsche,cayman,gas,69505,automatic
0,2015,mercedes-benz,s-class,gas,78807,automatic
6800,2004,mercedes-benz,clk320,gas,116700,automatic
45000,2017,chevrolet,silverado,gas,92000,automatic
2550,2004,cadillac,srx,gas,224105,automatic
12500,2015,ford,taurus,gas,90000,automatic
3800,2011,nissan,altima,gas,155000,automatic
2500,1987,,1987 Saab 900 Turbo,gas,125000,manual
2975,2006,,Suzuki XL-7,gas,217353,automatic
7980,2013,bmw,x3,gas,156295,manual
7800,2005,honda,accord ex-l,gas,155000,manual
9000,2008,mazda,miata mx-5,gas,56700,automatic
5980,2005,cadillac,sts,gas,129448,automatic
13500,2000,chevrolet,corvette,gas,92000,manual
19950,1955,chevrolet,bel air,gas,96867,automatic
5980,2005,acura,tl,gas,179721,automatic
2675,1996,toyota,camry,gas,164719,automatic
5980,2006,nissan,murano,gas,178388,automatic
34995,2018,ram,2500,diesel,211000,automatic
6980,2011,kia,sorento,gas,182321,other
31990,2017,jeep,wrangler sport s utility 2d,gas,891,other
6980,2008,toyota,avalon,gas,158888,automatic
11500,2013,honda,odyssey ex,gas,92000,automatic
987654321,1960,chevrolet,,gas,999999,manual
2600,2000,buick,lesabre,gas,212061,automatic
4980,2007,ford,edge,gas,178095,automatic
26995,2015,ford,f-350,diesel,247000,automatic
27990,2014,toyota,tacoma access cab pickup,other,17805,other
32990,2017,jeep,wrangler unlimited sport,gas,30041,other
34995,2018,ram,1500,gas,104000,automatic
5980,2010,gmc,terrain,gas,208359,manual
4500,2014,ford,f250 xl,gas,250000,automatic
5480,2013,chevrolet,captiva sport,gas,182711,automatic
16990,2016,kia,forte koup ex coupe 2d,gas,17631,other
37590,2019,ford,f150 supercrew cab xl,gas,8663,other
3975,2010,chevrolet,cobalt,gas,162455,automatic
6480,2008,buick,enclave,gas,183858,automatic
22900,2013,dodge,grand caravan,gas,68228,automatic
24997,2014,mercedes-benz,m-class,gas,82553,automatic
6700,2011,nissan,murano,gas,184000,automatic
26500,2019,nissan,rogue sport,gas,9975,automatic
27988,2020,nissan,altima,gas,15139,automatic
20870,2019,infiniti,qx30,gas,29938,automatic
26988,2018,nissan,pathfinder,gas,24274,automatic
19990,2017,subaru,legacy 2.5i premium sedan,gas,10309,other
19877,2011,ram,2500,diesel,183284,automatic
11977,2015,gmc,terrain,gas,106591,automatic
29998,2014,mercedes-benz,cls,gas,57406,automatic
0,2018,mercedes-benz,e-class,gas,34099,automatic
12895,1991,chevrolet,corvette,gas,43725,automatic
3650,1999,jeep,grand cherokee,gas,151379,automatic
8500,2006,rover,,gas,139445,automatic
3299,2003,chevrolet,cavalier,gas,176354,automatic
4499,2005,toyota,camry,gas,170687,automatic
0,2017,ford,expedition el,gas,82254,automatic
5940,2011,kia,soul,gas,163385,manual
3999,2009,volvo,s60,gas,182005,automatic
8980,2011,jeep,grand cherokee,,173787,manual
4950,2001,toyota,4runner limited,gas,266000,automatic
4980,2010,chevrolet,traverse,gas,208122,manual
4400,2006,buick,lacrosse,gas,124201,automatic
8980,2010,dodge,charger,gas,207260,automatic
33590,2014,toyota,tundra crewmax sr5 pickup,other,55251,other
39590,2020,ford,mustang gt premium coupe 2d,gas,1419,other
26590,2017,honda,pilot lx sport utility 4d,gas,13836,other
21990,2018,buick,regal sportback preferred,gas,4988,other
19990,2017,hyundai,sonata plug-in hybrid,hybrid,29254,manual
30990,2019,ford,ranger supercrew xl pickup,other,1834,other
6980,2006,nissan,pathfinder,gas,146779,automatic
4100,2010,hyundai,elantra touring,gas,130206,manual
7980,2015,kia,forte,gas,121682,automatic
9980,2013,infiniti,jx35,gas,171226,automatic
19500,2008,ram,3500,diesel,161000,manual
2300,1997,buick,lesabre,gas,201566,automatic
10980,2007,gmc,yukon xl denali,gas,181633,automatic
15000,2009,toyota,tacoma 4x4,gas,213800,automatic
14897,2012,jeep,grand cherokee,gas,112510,other
11400,2013,kia,sportage,gas,92986,other
10980,2012,ford,mustang,gas,159559,manual
3500,1998,jeep,cherokee,gas,273000,automatic
8950,2011,ford,f-150,gas,164000,automatic
4000,1972,mercedes-benz,benz,gas,88100,automatic
50000,2019,toyota,tundra,gas,20010,automatic
3500,2009,hyundai,accent,gas,111387,automatic
7480,2012,chrysler,300,gas,187910,automatic
1200,2005,chevrolet,impala,gas,256806,automatic
8888,2005,nissan,altima 3.5 sl,gas,53320,automatic
26990,2016,toyota,tacoma,gas,102089,automatic
500,2021,,SPECIAL FINANCE PROGRAM 2020,other,1400,other
98900,2001,ferrari,360 modena,gas,20187,automatic
15277,2017,mini,cooper,gas,94893,manual
17977,2012,toyota,4runner,gas,182263,automatic
12250,2007,toyota,4runner sport edition,gas,189000,automatic
35495,,,Series,gas,14000,automatic
16500,2011,ford,f250 super duty,gas,201766,automatic
5800,2001,ford,crown vic,gas,105000,automatic
3999,2006,pontiac,grand prix,gas,207238,automatic
6000,2011,acura,mdx,gas,197331,automatic
9400,2008,mercedes-benz,benz c350,gas,129473,automatic
3850,2003,dodge,durango,gas,215604,automatic
7900,2013,nissan,pathfinder,gas,152400,automatic
4300,2012,kia,soul,gas,174053,automatic
2800,2006,ford,taurus,gas,230108,automatic
27995,2012,ford,f250 super duty,gas,47380,automatic
3900,2010,chevrolet,cobalt,gas,162218,automatic
0,2017,chevrolet,silverado 2500 z71 4x4,diesel,102000,automatic
0,2016,ram,3500 laramie 4x4,diesel,120000,automatic
7300,2007,lexus,rx350,gas,181000,automatic
72900,2021,chevrolet,tahoe,gas,19129,automatic
28900,2017,audi,q7,gas,94601,automatic
17000,2019,chevrolet,trax,gas,14898,automatic
3350,2010,chevrolet,hhr,,177602,automatic
199,2017,dodge,charger,gas,21737,automatic
5950,2007,mitsubishi,eclipse,gas,72000,manual
24590,2017,chevrolet,silverado 1500 regular,gas,40784,other
3999,2006,honda,accord sedan,gas,253076,automatic
8900,2013,toyota,prius,hybrid,142900,automatic
9900,2016,,scion ia,gas,21000,automatic
34590,2018,ford,f150 super cab xl pickup 4d,gas,20856,other
39990,2019,nissan,370z nismo coupe 2d,gas,8373,other
30590,2016,toyota,tacoma double cab sr5,other,30176,other
11587,2013,ford,escape,gas,215046,other
4000,2002,toyota,camry,gas,160000,automatic
2999,2007,ford,taurus,gas,162029,automatic
10800,2013,toyota,camry,hybrid,147000,automatic
0,2018,infiniti,q50,gas,30362,automatic
5500,2008,nissan,altima,gas,150000,automatic
